carrier_id,carrier_name,shipments,otif_rate,avg_delay_hours,freight_cost,cost_variance,damage_rate,cost_per_shipment,performance_score
CR07,Great Plains Express,3576,0.8453579418344519,2.0508752796420584,9036747.29,256325.13,0.014261744966442953,2527.054611297539,88.0353525265438
CR15,Ozark Express,5044,0.8400079302141158,2.1873651863600316,16695670.93,348381.49,0.009912767644726407,3310.006132038065,87.66625599486424
CR13,MetroFleet,2983,0.8310425745893396,2.3033322158900438,9302639.21,216346.38,0.014415018437814281,3118.551528662421,86.90142553836822
CR04,DeltaWay Transport,4168,0.8294145873320538,2.343932341650672,11925861.0,302693.3,0.011516314779270634,2861.2910268714013,86.82135811778326
CR11,Keystone Transport,3589,0.8258567846196713,2.315580941766509,9913541.91,265045.27,0.010030649205906938,2762.2017024240736,86.64231536396485
CR09,Interstate North,3664,0.8204148471615721,2.3607123362445415,11321249.43,275704.71,0.013373362445414847,3089.8606522925766,86.18591659735219
CR05,Evergreen Haul,3036,0.8214756258234519,2.5097661396574438,8593624.47,209328.34,0.011857707509881422,2830.5745948616604,86.16688363970972
CR03,Cedar Linehaul,3670,0.8182561307901908,2.4931934604904633,11825945.59,271295.59,0.010354223433242507,3222.328498637602,86.00083906405432
CR08,HarborLink,3030,0.8118811881188119,2.6332112211221124,9083551.72,222377.0,0.009240924092409241,2997.8718547854787,85.49760857038085
CR01,Atlas Freight,4103,0.8059956129661223,2.761481842554229,13725579.96,315861.64,0.009261515963928832,3345.254681940044,85.01283226752395
CR10,Juniper Freight,3086,0.7945560596241089,2.871237848347375,9073006.34,234084.82,0.01069345430978613,2940.0539014906026,84.15351459227027
CR12,Lone Star Haul,4116,0.793002915451895,2.9179786200194364,12110282.01,314582.83,0.008017492711370262,2942.245386297376,84.0689836025113
CR14,NorthPeak Logistics,3611,0.7928551647743007,2.9049432290224315,9872536.49,285052.96,0.012184990307394073,2734.0173054555526,83.9863754049575
CR06,Frontier Cargo,3613,0.7711043454193192,3.1662828674231944,9678807.9,308834.22,0.010240797121505675,2678.8840022142267,82.40404359917231
CR02,BlueRiver Logistics,3551,0.7704871867079696,3.0988960856096877,11187788.61,279740.23,0.013235708251196845,3150.602255702619,82.35751163320863
