year_month,shipments,otif_rate,freight_cost,cost_variance,exception_rate
2025-01,3090,0.7902912621359224,9144162.76,234158.29,0.18932038834951456
2025-02,2798,0.7751965689778413,8351903.79,215766.76,0.21015010721944247
2025-03,3094,0.8684550743374273,9196442.77,211818.54,0.11150614091790563
2025-04,3012,0.8675298804780877,8949458.24,196436.88999999998,0.11354581673306773
2025-05,3108,0.8642213642213642,9173012.43,210498.77,0.11454311454311454
2025-06,3025,0.8631404958677686,8939912.48,203593.13,0.11008264462809918
2025-07,3096,0.7855297157622739,9141169.01,249040.24,0.19670542635658914
2025-08,3102,0.7869116698903933,9267702.9,241323.49,0.19374597034171503
2025-09,3057,0.8684985279685966,9190229.92,204391.32,0.1092574419365391
2025-10,3026,0.6962987442167878,8995124.44,273077.29,0.2868473231989425
2025-11,2988,0.7088353413654619,8910036.22,274139.57,0.27342704149933067
2025-12,3204,0.7056803995006242,9662806.98,306603.85,0.27153558052434457
2026-01,3069,0.7777777777777778,9163211.26,241496.84,0.20299771912675138
2026-02,2801,0.785076758300607,8435358.39,213786.12,0.19314530524812568
2026-03,3010,0.8687707641196013,9109024.83,195846.62,0.11495016611295682
2026-04,3157,0.8685460880582831,9436101.1,211692.53,0.1130820399113082
2026-05,3146,0.8684043229497775,9321928.07,211219.76,0.10870947234583599
2026-06,2977,0.8626133691635876,8733456.62,205225.73,0.11588847833389318
2026-07,80,0.825,225790.65,5538.17,0.175
